"nazwisko imię","","życie do 1939 roku","1 wrz","1 września 1939 cd","2 wrz","3-6 wrz 1939","7 wrz","1939-1945","po wojnie","","","","","","","","","","","","","","","","","","",""
"Skowron Ignacy","","ur. Osiny: 50.6938, 20.7947","W2","","","","","Stalag I A do 1940 z powodu choroby","Radkowice koło Chęcin (50.98106, 21.03839), toromistrz, pochowany: Brzeziny (pow. kielecki, gm. Morawica). Cmentarz parafialny, sektor A3, rząd 5, grób 2.","","","","","","","","","","","","","","","","","","",""
"Skwira Stanisław","","","W1","","","","","","Neuberg, Niemcy","","","","","","","","","","","","","","","","","","",""
"?Skwirkowicz Antoni","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"?Skwirocz Andrzej","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Słaby Mieczysław","","ur. Przemyśl","","","","","","Stablack (Bagrationowsk), Królewiec, Kamińsk: 54.32017, 20.45259","Aresztowany w Przemyślu, Przesłuchiwany przez UB w Krakowie gdzie zmarł","","","","","","","","","","","","","","","","","","",""
"Słowiaczek Jan Marian","","","działko 37, tor kolejowy","","","","","","","","","","","","","","","","","","","","","","","","",""
"Soból Władysław","","","Przystań","","","","","","","","","","","","","","","","","","","","","","","","",""
"Soja Franciszek","","","koszary, moździerze","","","","","","emigracja Ameryka","","","","","","","","","","","","","","","","","","",""
"Spiżarny Józef","","","armata","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spławski Edmund","29 października 1910","","Elektrownia","","","","","Stalag I A, zwolniony ze względu na zdrowie","Białystok, pochowany: Białystok. Cmentarz Miejski, sektor 118, rząd 6A, grób 13","","","","","","","","","","","","","","","","","","",""
"Stacewicz Bronisław","","","posterunek nr 1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sternak Marian","","","koszary","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stopiński Władysław","","","Prom","wzmocnił Prom z grupą Pająka","","","","","","","","","","","","","","","","","","","","","","","",""
"Stradomski Jan","","","Przystań","","","","","uciekł z obozu jenieckiego, złapani i przywróceni","","","","","","","","","","","","","","","","","","","",""
"Sucharski Henryk","12 lip 1898","ur. Gręboszów: 50.24467, 20.77592, szkoła Otfinów: 50.18677, 20.80965, Tarnów: 50.015418, 20.994355","Koszary","","","","","Hohnstein, Choszczno: 53.16668, 15.43459, Borne Sulinowo, Lubeka, Kamińsk: 54.32017, 20.45259","1946 Neapol, Pochowany w Casamassima: 40.95555, 16.92032, W 1971 Pochowany na: Westerplatte: 54.406968, 18.674655","30.08.1946","","","","","","","","","","","","","","","","","",""
"Sudnik Piotr","","","","W5","","","","","","","","","","","","","","","","","","","","","","","",""
"Szamlewski Edmund","","ur. Pięćmorgi: 53.55986, 18.53308","Wał","","stracił przytomność w W5, przeżył bombardowanie w W5","","","","kolejnictwo, pochowany: Iława","","","","","","","","","","","","","","","","","","",""
"Szapiel Antoni","","","Przystań","","","","","","","","","","","","","","","","","","","","","","","","",""
"Szewczuk Edward","","","dowódca oddziału technicznego","","","","","Wolsberg Alpy, Dobiegniew","Legionowo, pochowany: Gliwice-Bojkowo, Gliwice. Cmentarz parafialny (Gliwice-Bojków, ul. Plonowa).","","","","","","","","","","","","","","","","","","",""
"Szwedowski Karol","","ur. Chrząstów (Koniecpol): 50.77951, 19.69428, budowlanka, kładł dachy","koszary, szpital polowy, najstarszy Westerplatczyk","","","","","Stutthof, Buchenwald, Legionowo zm.","Legionowo","","","","","","","","","","","","","","","","","","",""
"Szymanowicz Józef","","","","W5","","","","","","","","","","","","","","","","","","","","","","","",""
"?Śmigulski Jan","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toporowicz Franciszek","","","zawiadowca stacji, ale nie wiadomo dokładnie gdzie był na półwyspie","","","","","","wrócił do Polski, pochowany: Gdańsk. Cmentarz Centralny „Srebrzysko”: 54.37404, 18.58211, nr kwatery: KW I, rząd 3, nr grobu 62.","","","","","","","","","","","","","","","","","","",""
"Tracewski Zenon","","","koszary","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trela Antoni s. Pawła","","","Koszary","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trela Stanisław s. Jana","","","W1","","","","","","Przesłuchiwany przez UB","","","","","","","","","","","","","","","","","","",""
"Tuczyński Kazmierz","","","Koszary, kucharz","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tusk Jan","","","Koszary, kucharz","","","","","Stablack, Gdańsk Nowy Port, Dritz, Kaszuby","","","","","","","","","","","","","","","","","","","",""
"Uss Bronisław","20.10.1917","ur. Rodziewicze: 54.04431, 24.96214","Prom","","","","","","Grób symboliczny: Gdańsk, Westerplatte: 54.406968, 18.674655","02.09.1939","","","","","","","","","","","","","","","","","",""
"Wiatr Teodor","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Więckowicz Bolesław","","ur. Ludynia: 50.84353, 20.11631","W1","ogłuszony, ranny","","","","","","","","","","","","","","","","","","","","","","","",""
"Wilbik Bronisław","","","armaty","","","","","","","","","","","","","","","","","","","","","","","","",""
"Włodarski Wojciech","","","moździerz","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wojniusz Józef","","","armaty","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wojtowicz Jan","","","Łazienki","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolas Franciszek","","","W2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wójtewicz Franciszek","","","Prom","niósł kawałek rannego Kowalczyka, W5","","","","","","","","","","","","","","","","","","","","","","","",""
"Wróbel Mieczysław","","","działko 37, tor kolejowy","","","","","Razem z Armią Czerwoną wyzwalał Elbląg i Gdańsk","","","","","","","","","","","","","","","","","","","",""
"Wrzaszcz Antoni","","","W1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wysocki Julian","","","Prom","transportuje do W1 rannego Pająka","","","","","","","","","","","","","","","","","","","","","","","",""
"Zając Bronisław ","","","W6","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zając Stanisław","","","Fort","","","","ranny (lekka rana głowy)","","","","","","","","","","","","","","","","","","","","",""
"Zameryka Jan","","","","","","","ranny (lekka rana głowy)","","","","","","","","","","","","","","","","","","","","",""
"Zameryka Franciszek","","","W2","","","","","","emigracja USA","","","","","","","","","","","","","","","","","","",""
"Zarębski Ignacy","","","koszary","radiostacja","","","","","","","","","","","","","","","","","","","","","","","",""
"Zatorski Ignacy","","ur. Baranów (Suchedniów): 51.06206, 20.83514","wał","celowniczy CKM, W5","poległ w W5","","","","Szczątki odnalezione w 2019 roku, pochowany w 2022 roku na Westerplatte: 54.406968, 18.674655","02.09.1939","","","","","","","","","","","","","","","","","",""
"Zdanuczyk Stanisław","","","Prom, W1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zdeb Jan","","","Prom","","","","ranny (postrzelony palec środkowy)","","","","","","","","","","","","","","","","","","","","",""
"Zdunkiewicz Donat","","","Koszary","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zieliński Jan","","","działko 37 przy kanale portowym","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zięba Zygmunt","","","Prom","RKM","","","","","","","","","","","","","","","","","","","","","","","",""
"Zimny Stefan","","","moździerz","","","","","","Przesłuchiwany przez UB","","","","","","","","","","","","","","","","","","",""
"Ziomek Jan","","","Elektrownia","","","","","","Przesłuchiwany przez UB, pobity za Westerplatte","","","","","","","","","","","","","","","","","","",""
"Zmitrowicz Jan","","","W2","CKM","","","","","","","","","","","","","","","","","","","","","","","",""
"Zwierzchowski Stanisław","","","moździerz","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zych Stanisław","","","W2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Żołnik Franciszek","","","armata","","","","","","","","","","","","","","","","","","","","","","","","",""
"Żuk Bronisław","","","Przystań","","","","","","","","","","","","","","","","","","","","","","","","",""
"Żurawski Konstanty","","","koszary","","","","","w 1945 walczył w Ludowym Wojsku Polskim pod miastami Zgorzelec, Głogów, Drezno ","","","","","","","","","","","","","","","","","","","",""
